ID,Strain,Sex,Ordered,DOB,EXP,EAE Protocol,Age at D0,Classical CDS,AR CDS,Global CDS
3711,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,56,0,56.0
3712,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,56,0,56.0
3713,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,64,0,64.0
3714,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,189,0,189.0
3715,129,F,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,33,0,33.0
3716,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,55,0,55.0
3717,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,71,0,71.0
3718,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,76,0,76.0
3719,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,87,0,87.0
3720,129,M,JAX,4/20/2021,X134,"1X MOG, D0 PTX",8.14,85,16,87.0
3401,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,112,2,112.0
3402,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,71,0,71.0
3403,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,130,0,130.0
3404,C57BL6,F,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,0,0,0.0
3409,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,4,0,4.0
3410,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,50,0,50.0
3411,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,94,2,96.0
3412,C57BL6,F,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,119,0,119.0
3701,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,19,0,19.0
3702,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,76,3,76.5
3703,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,20,0,20.0
3704,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,112,0,112.0
3705,C57BL6,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,44,0,44.0
3813,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,0,0,0.0
3814,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,98,0,98.0
3815,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,0,0,0.0
3816,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,77,0,77.0
3817,C57BL6,F,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,39,9,40.5
5132,C57BL/6,F,Jax,8/16/2022,X191,,8.00,109,52,114.0
5133,C57BL/6,F,Jax,8/16/2022,X191,,8.00,116,75,127.5
5134,C57BL/6,F,Jax,8/16/2022,X191,,8.00,142,7,143.0
5135,C57BL/6,F,Jax,8/16/2022,X191,,8.00,87,19,89.0
5136,C57BL/6,F,Jax,8/16/2022,X191,,8.00,140,36,140.5
3405,C57BL6,M,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,117,19,121.5
3406,C57BL6,M,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,9,0,9.0
3407,C57BL6,M,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,104,0,104.0
3408,C57BL6,M,Jax,1/12/2021,X126,"1X MOG, D0 PTX",10.43,148,0,148.0
3413,C57BL6,M,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,51,0,51.0
3414,C57BL6,M,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,79,0,79.0
3415,C57BL6,M,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,90,0,90.0
3416,C57BL6,M,Jax,12/22/2020,X126,"1X MOG, D0 PTX",13.43,90,0,90.0
3706,C57BL6,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,108,0,108.0
3707,C57BL6,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,82,0,82.0
3708,C57BL6,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,10,0,10.0
3709,C57BL6,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,62,0,62.0
3710,C57BL6,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,115,0,115.0
3818,C57BL6,M,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,77,0,77.0
3819,C57BL6,M,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,140,16,141.0
3820,C57BL6,M,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,147,0,147.0
3821,C57BL6,M,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,125,0,125.0
3822,C57BL6,M,Jax,8/10/2021,X157,"1X MOG, D0 PTX",9.29,147,17,149.0
5127,C57BL/6,M,Jax,8/16/2022,X191,,8.00,97,58,103.5
5128,C57BL/6,M,Jax,8/16/2022,X191,,8.00,91,8,92.0
5129,C57BL/6,M,Jax,8/16/2022,X191,,8.00,109,4,105.5
5130,C57BL/6,M,Jax,8/16/2022,X191,,8.00,121,14,121.0
5131,C57BL/6,M,Jax,8/16/2022,X191,,8.00,99,23,100.5
3721,NOD,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,18,8,26.0
3722,NOD,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3723,NOD,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3724,NOD,F,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3725,NOD,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3726,NOD,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3727,NOD,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3728,NOD,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3729,NOD,M,JAX,4/13/2021,X134,"1X MOG, D0 PTX",9.14,0,0,0.0
3417,CC001,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,0,0,0.0
3418,CC001,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,57,0,57.0
3419,CC001,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,192,0,192.0
3420,CC001,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,82,0,82.0
3421,CC001,F,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,44,51,63.5
3422,CC001,M,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,7,0,7.0
3423,CC001,M,UNC,1/5/2021,X126,"1X MOG, D0 PTX",11.43,104,0,104.0
3425,CC001,M,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,0,0,0.0
3426,CC001,M,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,85,0,85.0
3778,CC002,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,12,0,12.0
3779,CC002,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,46,0,46.0
3780,CC002,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,52,0,52.0
3781,CC002,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,35,0,35.0
3782,CC002,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,0,6,6.0
3427,CC002,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,0,0,0.0
3428,CC002,M,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,20,0,20.0
3783,CC002,M,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,119,4,120.5
3784,CC002,M,UNC,3/29/2021,X134,"1X MOG, D0 PTX",11.29,13,14,21.0
3823,CC002,M,UNC,7/21/2021,X157,"1X MOG, D0 PTX",12.14,95,0,95.0
3824,CC002,M,UNC,7/21/2021,X157,"1X MOG, D0 PTX",12.14,73,23,82.0
3429,CC003,F,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,64,2,64.0
3430,CC003,F,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,36,0,36.0
3431,CC003,F,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,0,0,0.0
3432,CC003,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,20,0,20.0
3433,CC003,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,0,0,0.0
3434,CC003,M,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,44,0,44.0
3435,CC003,M,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,10,0,10.0
3436,CC003,M,UNC,1/7/2021,X126,"1X MOG, D0 PTX",11.14,45,0,45.0
3786,CC003,M,UNC,3/29/2021,X134,"1X MOG, D0 PTX",11.29,20,74,86.0
3787,CC003,M,UNC,4/3/2021,X134,"1X MOG, D0 PTX",10.57,20,5,25.0
3554,CC004,F,UNC,12/25/2020,X126,"1X MOG, D0 PTX",13.00,0,153,153.0
3555,CC004,F,UNC,12/25/2020,X126,"1X MOG, D0 PTX",13.00,0,11,11.0
3556,CC004,F,UNC,12/25/2020,X126,"1X MOG, D0 PTX",13.00,7,208,209.0
3557,CC004,F,UNC,12/25/2020,X126,"1X MOG, D0 PTX",13.00,167,10,174.5
3558,CC004,F,UNC,12/25/2020,X126,"1X MOG, D0 PTX",13.00,1,210,208.0
3788,CC004,F,UNC,4/4/2021,X134,"1X MOG, D0 PTX",10.43,0,149,149.0
3789,CC004,F,UNC,4/4/2021,X134,"1X MOG, D0 PTX",10.43,0,55,55.0
3501,CC004,M,UNC,1/1/2021,X126,"1X MOG, D0 PTX",12.00,8,139,135.5
3502,CC004,M,UNC,1/1/2021,X126,"1X MOG, D0 PTX",12.00,216,0,216.0
3503,CC004,M,UNC,1/4/2021,X126,"1X MOG, D0 PTX",11.57,0,181,181.0
3790,CC004,M,UNC,4/4/2021,X134,"1X MOG, D0 PTX",10.43,0,75,75.0
3791,CC004,M,UNC,4/4/2021,X134,"1X MOG, D0 PTX",10.43,0,0,0.0
3792,CC004,M,UNC,4/4/2021,X134,"1X MOG, D0 PTX",10.43,0,190,190.0
3793,CC004,M,UNC,4/4/2021,X134,"1X MOG, D0 PTX",10.43,0,195,195.0
3794,CC006,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,16,0,16.0
3795,CC006,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,0,13,13.0
3796,CC006,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,2,0,2.0
3797,CC006,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,30,18,48.0
3798,CC006,F,UNC,3/29/2021,X134,"1X MOG, D0 PTX",11.29,0,0,0.0
3437,CC006,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,9,0,9.0
3438,CC006,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,8,0,8.0
3439,CC006,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,44,0,44.0
3440,CC006,M,UNC,1/10/2021,X126,"1X MOG, D0 PTX",10.71,31,0,31.0
3441,CC006,M,UNC,1/10/2021,X126,"1X MOG, D0 PTX",10.71,36,0,36.0
3559,CC010 ,F,UNC,12/31/2020,X126,"1X MOG, D0 PTX",12.14,0,0,0.0
3560,CC010 ,F,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,48,0,48.0
3561,CC010 ,F,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,118,0,118.0
3562,CC010 ,F,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,47,0,47.0
3563,CC010 ,F,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,58,0,58.0
3564,CC010 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,48,0,48.0
3565,CC010 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,11,0,11.0
3566,CC010 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,0,0,0.0
3799,CC010,M,UNC,3/29/2021,X134,"1X MOG, D0 PTX",11.28571429,72,0,72.0
3800,CC010,M,UNC,3/29/2021,X134,"1X MOG, D0 PTX",11.28571429,52,0,52.0
3825,CC011,F,UNC,7/25/2021,X157,"1X MOG, D0 PTX",11.57,6,0,6.0
3826,CC011,F,UNC,7/25/2021,X157,"1X MOG, D0 PTX",11.57,1,0,1.0
3567,CC011 ,F,UNC,1/10/2021,X126,"1X MOG, D0 PTX",10.71,0,0,0.0
3568,CC011 ,F,UNC,1/10/2021,X126,"1X MOG, D0 PTX",10.71,0,0,0.0
3569,CC011 ,F,UNC,1/10/2021,X126,"1X MOG, D0 PTX",10.71,0,0,0.0
3570,CC011 ,M,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,0,0,0.0
3571,CC011 ,M,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,0,0,0.0
3572,CC011 ,M,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,0,0,0.0
3573,CC011 ,M,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,0,0,0.0
3574,CC011 ,M,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,0,0,0.0
3827,CC018,F,UNC,7/24/2021,X157,"1X MOG, D0 PTX",11.71,6,0,6.0
3348,CC018 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,0,0,0.0
3349,CC018 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,0,0,0.0
3350,CC018 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,37,0,37.0
3351,CC018 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,90,41,90.0
3352,CC018 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,25,0,25.0
3353,CC018 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,30,0,30.0
3354,CC018 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,118,0,118.0
3355,CC018 ,M,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,1,0,1.0
5137,CC020,F,Jax,7/12/2022,X191,,13.00,0,0,0.0
5138,CC020,F,Jax,7/12/2022,X191,,13.00,0,0,0.0
5139,CC020,F,Jax,7/12/2022,X191,,13.00,0,9,9.0
5140,CC020,F,Jax,8/9/2022,X191,,9.00,0,0,0.0
5141,CC020,F,Jax,8/9/2022,X191,,9.00,0,0,0.0
5142,CC020,M,Jax,7/12/2022,X191,,13.00,2,1,3.0
5143,CC020,M,Jax,7/12/2022,X191,,13.00,0,0,0.0
5144,CC020,M,Jax,7/12/2022,X191,,13.00,0,0,0.0
5145,CC020,M,Jax,8/9/2022,X191,,9.00,7,0,7.0
5146,CC020,M,Jax,8/16/2022,X191,,8.00,0,4,4.0
3801,CC023,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,1,0,1.0
3802,CC023,F,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,1,0,1.0
3803,CC023,F,UNC,4/7/2021,X134,"1X MOG, D0 PTX",10.00,36,0,36.0
3804,CC023,F,UNC,4/11/2021,X134,"1X MOG, D0 PTX",9.43,33,0,33.0
3805,CC023,F,UNC,4/11/2021,X134,"1X MOG, D0 PTX",9.43,66,0,66.0
3806,CC023,M,UNC,4/11/2021,X134,"1X MOG, D0 PTX",9.43,10,0,10.0
3807,CC023,M,UNC,4/11/2021,X134,"1X MOG, D0 PTX",9.43,19,0,19.0
3442,CC023 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,50,0,50.0
3443,CC023 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,0,0,0.0
3444,CC023 ,M,UNC,1/8/2021,X126,"1X MOG, D0 PTX",11.00,8,0,8.0
3829,CC028,F,UNC,7/24/2021,X157,"1X MOG, D0 PTX",11.71,16,131,126.0
3830,CC028,F,UNC,7/24/2021,X157,"1X MOG, D0 PTX",11.71,136,0,136.0
3356,CC028 ,F,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,0,0,0.0
3357,CC028 ,F,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,187,0,187.0
3358,CC028 ,F,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,145,0,145.0
3459,CC028 ,M,UNC,1/2/2021,X126,"1X MOG, D0 PTX",11.86,178,2,180.0
3460,CC028 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,173,0,173.0
3461,CC028 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,211,0,211.0
3462,CC028 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,177,0,177.0
3463,CC028 ,M,UNC,1/3/2021,X126,"1X MOG, D0 PTX",11.71,174,0,174.0
3445,CC030 ,F,UNC,1/9/2021,X126,"1X MOG, D0 PTX",10.86,81,0,81.0
3446,CC030 ,F,UNC,1/10/2021,X126,"1X MOG, D0 PTX",10.71,85,0,85.0
3447,CC030 ,F,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,76,0,76.0
3448,CC030 ,F,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,115,0,115.0
3449,CC030 ,F,UNC,1/11/2021,X126,"1X MOG, D0 PTX",10.57,121,12,124.0
3450,CC030 ,M,UNC,1/14/2021,X126,"1X MOG, D0 PTX",10.14,174,0,174.0
3451,CC030 ,M,UNC,1/14/2021,X126,"1X MOG, D0 PTX",10.14,47,0,47.0
3735,CC030,M,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,81,33,88.0
3736,CC030,M,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,73,0,73.0
3737,CC030,M,UNC,3/28/2021,X134,"1X MOG, D0 PTX",11.43,67,14,69.0
3860,CC031,F,UNC,7/24/2021,X157,"1X MOG, D0 PTX",11.71,8,0,8.0
3861,CC031,F,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,9,0,9.0
3862,CC031,F,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,80,0,80.0
3863,CC031,F,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,20,0,20.0
3864,CC031,F,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,71,0,71.0
3865,CC031,M,UNC,7/29/2021,X157,"1X MOG, D0 PTX",11.00,2,2,4.0
